iter	Logloss
0	0.6714081906
1	0.6510814178
2	0.6332823768
3	0.6153275866
4	0.5967667017
5	0.5780419296
6	0.5618450771
7	0.5457244091
8	0.5310703375
9	0.5163899114
10	0.5045694361
11	0.4925478891
12	0.4790260667
13	0.4676015375
14	0.4565021221
15	0.4458188727
16	0.4365447216
17	0.4275057279
18	0.4179130985
19	0.4074471655
20	0.3974802809
21	0.3890081005
22	0.3809087352
23	0.373763459
24	0.3652319649
25	0.3574789663
26	0.3517543069
27	0.3457195262
28	0.3399969013
29	0.3338835261
30	0.3283023463
31	0.3228399189
32	0.3176458584
33	0.3128371645
34	0.308506861
35	0.3025299542
36	0.2988247446
37	0.2943756886
38	0.2898022461
39	0.2855073117
40	0.2818906187
41	0.2777584761
42	0.2735681465
43	0.2697288787
44	0.2651579402
45	0.2618039175
46	0.2583667931
47	0.2554151956
48	0.2514783028
49	0.2478940837
50	0.2450418795
51	0.2423193985
52	0.2397883489
53	0.2371085925
54	0.2345910488
55	0.231496629
56	0.2291178855
57	0.2260671606
58	0.2233316744
59	0.2211808738
60	0.219001903
61	0.2164850636
62	0.2142723514
63	0.2122142616
64	0.210294033
65	0.2083926157
66	0.2062616436
67	0.2041985614
68	0.2017355581
69	0.1997832156
70	0.1983341784
71	0.1968262814
72	0.1952457682
73	0.1936899351
74	0.1921607071
75	0.1906695087
76	0.1892241649
77	0.1878762896
78	0.1862767929
79	0.1849715169
80	0.1835259853
81	0.1820145671
82	0.1802850811
83	0.1790237818
84	0.1778023118
85	0.1765562713
86	0.1752965996
87	0.1741143016
88	0.1731352351
89	0.1721011744
90	0.1709217248
91	0.1699314215
92	0.1689450934
93	0.1681291316
94	0.1671631485
95	0.1660616987
96	0.1650278414
97	0.1643210856
98	0.1635967548
99	0.162477683
100	0.1616012182
101	0.1604232397
102	0.1595794991
103	0.1586936599
104	0.1576040258
105	0.156860915
106	0.1559770477
107	0.1551718218
108	0.1544473032
109	0.1535393974
110	0.1526054813
111	0.151813464
112	0.15082302
113	0.1500610665
114	0.1494419196
115	0.1485873022
116	0.1478883714
117	0.1469309176
118	0.146212393
119	0.1454782026
120	0.1449192458
121	0.1442986278
122	0.1436031087
123	0.1427897761
124	0.142127529
125	0.1414489903
126	0.1407982772
127	0.1401679249
128	0.1395327681
129	0.1388503794
130	0.1382237205
131	0.1375462302
132	0.1370477138
133	0.1363714756
134	0.1357654435
135	0.1352414175
136	0.1345847418
137	0.134083831
138	0.1335454227
139	0.1327855506
140	0.1322428698
141	0.1318073605
142	0.1313170448
143	0.130734472
144	0.1302188815
145	0.1296554409
146	0.1291709626
147	0.1286565458
148	0.1282024051
149	0.1278604987
150	0.1273459567
151	0.1269739709
152	0.1265603872
153	0.1260685847
154	0.1252759572
155	0.1247746551
156	0.1243486845
157	0.1239789523
158	0.1235058437
159	0.1230279541
160	0.1226163267
161	0.1220488406
162	0.12161053
163	0.1212325033
164	0.1207583383
165	0.1203290264
166	0.1199153881
167	0.1194475771
168	0.118980752
169	0.1185869657
170	0.1182101049
171	0.1178636991
172	0.1173180996
173	0.1169173099
174	0.1165411064
175	0.1161102451
176	0.1156919039
177	0.115390132
178	0.1149927227
179	0.1146174426
180	0.114333543
181	0.1139788818
182	0.1137740932
183	0.1134307392
184	0.1130847481
185	0.1126713053
186	0.1123107284
187	0.112031117
188	0.1117492832
189	0.1113837218
190	0.1110225658
191	0.1106105237
192	0.1102903552
193	0.1098702612
194	0.1096038036
195	0.1092809589
196	0.1089218844
197	0.1086146272
198	0.1083249058
199	0.1079036224
200	0.1075689384
201	0.1073780392
202	0.1070490597
203	0.1067846758
204	0.1065579145
205	0.1063349015
206	0.1060169709
207	0.105701826
208	0.1054094989
209	0.1050993934
210	0.1047216953
211	0.1044030214
212	0.1042212853
213	0.1039655324
214	0.1036346436
215	0.1033504545
216	0.1030528846
217	0.1028097534
218	0.1024730976
219	0.1022450921
220	0.1020593731
221	0.1018843978
222	0.1016955097
223	0.1014135273
224	0.1012223307
225	0.1009964694
226	0.100763409
227	0.1005116546
228	0.1002729289
229	0.1000974606
230	0.09990908109
231	0.09958840395
232	0.09934792543
233	0.09908059145
234	0.09884346204
235	0.09858160557
236	0.09838641827
237	0.0981548994
238	0.09795443021
239	0.09770718306
240	0.09751652644
241	0.09733124562
242	0.09712975135
243	0.09702270508
244	0.0968537003
245	0.096619294
246	0.09631400866
247	0.09596908961
248	0.09566950871
249	0.09537772937
250	0.09517139924
251	0.09497686924
252	0.09479827098
253	0.09456656432
254	0.09433503762
255	0.09418397561
256	0.09401054187
257	0.09384107541
258	0.09361215445
259	0.09340711545
260	0.09319719363
261	0.09307297144
262	0.09281624818
263	0.09256167681
264	0.09235465808
265	0.09216835218
266	0.09197002704
267	0.0917397054
268	0.09164956117
269	0.09153658353
270	0.09136927678
271	0.09100735395
272	0.09077375363
273	0.09058404385
274	0.09035903539
275	0.09019273807
276	0.09001032903
277	0.08979093111
278	0.08964314779
279	0.08954347268
280	0.08945374318
281	0.08920160538
282	0.08901533078
283	0.08885398669
284	0.0886722193
285	0.08853178367
286	0.08838167631
287	0.0881656901
288	0.0880095966
289	0.08780269525
290	0.08771235539
291	0.08764295529
292	0.08744515443
293	0.0872672526
294	0.08717370449
