iter	Logloss
0	0.6178657301
1	0.5589354082
2	0.4867303559
3	0.4512374416
4	0.4197418213
5	0.3894677827
6	0.3662154689
7	0.3467138579
8	0.3332273772
9	0.3122238159
10	0.294593811
11	0.2853788434
12	0.2768124667
13	0.267703617
14	0.2599434593
15	0.2541405187
16	0.2473585649
17	0.2410472061
18	0.2356554898
19	0.2307730241
20	0.2244611336
21	0.2178944906
22	0.2133758545
23	0.2089028561
24	0.2050463359
25	0.2025303465
26	0.200117169
27	0.1977411906
28	0.1949295275
29	0.1927244244
30	0.1907983953
31	0.1887264598
32	0.1868470394
33	0.1850635413
34	0.1832928166
35	0.1816887827
36	0.1800197023
37	0.1784102006
38	0.1757205732
39	0.1741630323
40	0.1725377979
41	0.1709666165
42	0.1695075758
43	0.1680876414
44	0.1667045824
45	0.1644247575
46	0.1626000375
47	0.1613150857
48	0.1585406679
49	0.1569026138
50	0.1538282915
51	0.1510340604
52	0.1491865447
53	0.1472343214
54	0.1457317699
55	0.1439928228
56	0.1424699726
57	0.141037704
58	0.1394792499
59	0.1381040862
60	0.1369406498
61	0.1354938623
62	0.1341216347
63	0.1329110232
64	0.1318683855
65	0.1304173556
66	0.1292156335
67	0.127796254
68	0.1263972658
69	0.1250925815
70	0.1238735777
71	0.1223592932
72	0.1212088614
73	0.1202513955
74	0.1194183812
75	0.1183914647
76	0.1176311609
77	0.1167982853
78	0.1159880783
79	0.1153042418
80	0.114692688
81	0.113890145
82	0.112905722
83	0.1120464094
84	0.1111215765
85	0.1103869929
86	0.1097224842
87	0.10904363
88	0.1083819303
89	0.1073944323
90	0.1065608863
91	0.1055082379
92	0.1047210578
93	0.1042962045
94	0.1037662044
95	0.1030437932
96	0.1022888993
97	0.1017066724
98	0.1010296793
99	0.1004741553
